ï»¿,created at,from user,text
57,2023-04-02 02:22:11+00:00,0xglory_,"Dukung mendukung silahkan, tp jangan lantas jd fanatik buta bahkan menjadi penganut sekte junjungan selalu benar. Seperti pesan Bung Hatta, sahabat yg baik itu bukan yg selalu mengangguk, tp yg berani menggeleng karena memperjuangkan kebenaran walaupun itu pahit. #PSSI #PDIP"
58,2023-04-02 02:17:19+00:00,laras_mis,"FIFA menolak memberikan sanksi kepada Israel yang mengadakan pertandingan di wilayah Palestina
#FIFA #PSSI #sepakbola #politik #fff #lfl #mutual https://t.co/OI4Mdy49vH"
59,2023-04-02 02:11:53+00:00,Wartatrencom,"Piala Dunia U-20 Dicoret FIFA dari Indonesia, Inikah Alasan Sebenarnya? 

#PialaDuniaU20 #PialaDuniaBatalKarnaIni #pialaduniau20indonesia #pialadunia #Indonesia #TimnasU20 #FIFA #ErickTohir #PSSI 
https://t.co/bAysuKFQ8j"
60,2023-04-02 02:10:00+00:00,JemberNetwork,"Warganet sebut lebay, curhatan Hokky Caraka bak mencoreng nama PSSI, demi timnas sampai tinggalkan sekolah?
#HokkyCaraka #PSSI #TimnasU20
https://t.co/FIuo2QTTBD"
61,2023-04-02 02:09:33+00:00,FariziStevani,"Published on YouTube: INDONESIA BATAL JADI TUAN RUMAH PIALA DUNIA U 20, ANIES MALAH SUJUD SYUKUR | #aniesbaswedan #pssi https://t.co/iPPHtDy0UZ"
62,2023-04-02 02:04:11+00:00,AgungPu73327145,"#jedakjeduksepakboladunia #messipsg #sepakbolaeropa2023 #messisepaksalto #fotball_edits #fypdong #kbo77 #viral #kbo77official  #fyp #trend #jedagjedug #soundkane #awalnyadiremehkan #football #hulk #training #shot #berandatiktok  
#pialaduniau20 #pssi #u20 #pialadunia #pildun https://t.co/N3KveVNOkd"
63,2023-04-02 00:51:05+00:00,HaniRismayanti4,"#PSSI 
#FIFA23 
#detik.com
#viva https://t.co/XhyLZ8znuq"
64,2023-04-02 00:48:31+00:00,unithavha,Mereka yg menolak Israel mempunyai argumen yg valid #FIFA #U20 #PSSI #sepakbola #pialaduniau20 https://t.co/AstgwdDJPs
65,2023-04-02 00:47:59+00:00,unithavha,Apakah FIFA emang gak berani mengsanksi mereka? #FIFA #PSSI #U20 https://t.co/2xpue4AyLI
66,2023-04-02 00:09:29+00:00,harianganjar,"Berikan dukungan, Respon Ganjar : ""Tetap semangat terus. Ini bukan kiamat. Teruslah berlatih dan mengembangkan sepak bola kita dengan serius. Masih banyak event""
#GanjarPranowo  #JawaTengah  #FIFA #PSSI #Israel #Palestina #TimnasU20 #PialaDuniaU20  #Indonesia https://t.co/2EYouHfsut"
